dv_requested_item,category_item,segment_,mrc_description_entity_,legal_entity_description_entity_,goc___coe_dri_approval_,location_,do_you_require_a_server_within_dmz_ice_environment_,quantity_of_application_servers_,quantity_of_databases_,request_type_,app_upgrade_,what_is_your_application_name_,database_version_,database_size_,additional_database_space_,non_standard_settings_,db_request_type_,db_size_,db_server_type_,db_server_count_,additional_instructions_,character_set,national_character_set,block_size__kb_,select_required_collation_settings,do_you_need_a_replicated_copy_of_database_,additional_information,os_version,db_blueprint,edition,db_patch_level,source_order_guide,dv_category,dv_subcategory,dv_u_used_for,dv_u_status_reason,dv_u_criticality,dv_u_application_lifecycle,dv_u_type,dv_u_primary_sector,dv_u_coe,dv_u_primary_product_line,dv_u_ci_regions,dv_u_number_of_users,dv_u_externally_hosted,dv_u_owning_company,dv_u_sox,dv_u_pci,dv_u_gxp,dv_u_gxp_part11_annex11,dv_u_legal_hold,dv_u_samd,dv_u_privacy_classification,dv_u_data_classification,dv_u_darm,dv_u_dr_enabled
RITM000012964662,SDDC database 1,Global Technology Services,Vistakon USA,"JOHNSON & JOHNSON VISION CARE, INC.",Consumer medical tech (CMT),NA enterprise data center,No,0,1,SDDC factory migration,No,JJVC CLINICAL DATA REPOSITORY - DEV,SQL 2012 Enterprise Edition,Small,0,NULL,Standard,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Provision a hosting platform or database,Service,Application,Development,NULL,Non-Critical,Maintain,Server,Consumer,N/A,CMD R&D,NA,1-99,false,Vistakon USA,false,false,false,false,false,false,NULL,Restricted,false,false
RITM000013387087,SDDC database 1,Global Technology Services,J&J World Headquarters,W105 ALBANY STREET LLC,Supply chain (including HCS),NA enterprise data center,No,0,1,SDDC Factory Migration,No,FME MIGRATION TOOL,Oracle 12c Enterprise Edition,Small,0,NULL,Standard,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Provision a hosting platform or database,Service,Application,Production,NULL,Vital,Maintaining,Website,Pharma,JSC Quality,Supply Chain,NA,1-99,false,JJ World Headqtrs US,false,false,false,false,false,false,NULL,NULL,false,false
RITM000013967051,SDDC database 1,Global Technology Services,J&J World Headquarters,"W130 JOHNSON & JOHNSON SERVICES, INC.",Supply chain (including HCS),NA enterprise data center,No,0,1,SDDC Factory Migration,Yes,MESF DEPUY RAYNHAM-PROD,SQL 2012 Standard Edition on Win 2008,Large,0,NULL,Standard,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,No,NULL,NULL,NULL,NULL,NULL,Provision a hosting platform or database,Service,Application,Production,Transformed,Vital,Core Rising,Server,Medical Devices,SC Make,Supply Chain,NA,1-99,false,DePuy Orthopaedics US,false,false,true,false,true,false,NULL,NULL,false,false
RITM000014295187,SDDC database 1,DePuy Synthes,Synthes Switzerland,MEDOS SARL,Supply chain (including HCS),EMEA enterprise data center,No,0,2,New Application,NULL,MESF DEPUY MITEK-DEV,SQL 2012 Enterprise Edition,Small,500,Windows 2008 OS is needed - see design,Custom,NULL,NULL,NULL,NULL,NULL,NULL,NULL,OTHER,No,Windows 2008 OS is needed - see design,NULL,NULL,NULL,NULL,Provision a hosting platform or database,Service,Application,Development,NULL,Non-Critical,Core Rising,Server,Medical Devices,SC Make,Supply Chain,EMEA,1-99,false,DePuy Switzerland,false,false,false,false,false,false,NULL,NULL,false,false
RITM000012641909,SDDC database 1,Shared Services,NULL,NULL,NULL,NULL,No,NULL,1,NULL,NULL,NULL,NULL,Medium,NULL,NULL,NULL,Medium,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Provision a hosting platform or database,Service,Application,QA,NULL,Non-Critical,NULL,Platform,Corporate,GTS,None Assigned,GLOBAL,1-99,false,JJ World Headqtrs US,false,false,false,false,false,false,NULL,NULL,false,false
RITM000014397519,SDDC database 1,Janssen,Janssen R&D US,"JANSSEN R&D, LLC",Pharma,NA enterprise data center,No,0,1,New Application,NULL,RND RPA - PROD,SQL 2014 Standard Edition,Small,100,NULL,Standard,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,No,NULL,Windows 2012,MSSQL Server 2014,Standard,12.1.0.2.5,Provision a hosting platform or database,Service,Application,Production,NULL,Non-Critical,NULL,Server,Pharma,R&D Development Other,Product Line Not Applicable,GLOBAL,NULL,false,Janssen R&D US,false,false,false,false,false,false,NULL,NULL,false,false
RITM000013747736,SDDC database 1,Global Technology Services,Biosense Webster USA,"ATRIONIX, INC.",Supply chain (including HCS),NA enterprise data center,No,0,1,SDDC Factory Migration,Yes,CPDM-BWI-QA,SQL 2012 Standard Edition,Small,0,NULL,Standard,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,No,NULL,NULL,NULL,NULL,NULL,Provision a hosting platform or database,Service,Application,QA,NULL,Non-Critical,Maintain,Server,Medical Devices,SC Quality,Supply Chain,NA,1-99,false,Biosense Webster USA,false,false,true,false,false,false,NULL,NULL,false,false
RITM000013158143,SDDC database 1,Global Technology Services,J&J World Headquarters,W105 ALBANY STREET LLC,Corporate (ETCS),NA enterprise data center,No,0,1,SDDC factory migration,Yes,OURSOURCE-BSITAX-QA-MJ7,Oracle 12c Enterprise Edition,Medium,0,NULL,Custom,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Provision a hosting platform or database,Service,Application,QA,NULL,BCA,NULL,Server,Corporate,ITHR,Total Rewards & Payroll,GLOBAL,N/A,false,JJ World Headqtrs US,false,false,false,false,false,false,NULL,NULL,false,false
RITM000013751008,SDDC database 1,Global Technology Services,J&J World Headquarters,"W130 JOHNSON & JOHNSON SERVICES, INC.",Supply chain (including HCS),NA enterprise data center,No,0,1,SDDC Factory Migration,No,ETQ-INSTINCT-DEV,Oracle 12c Enterprise Edition,Large,0,NULL,Standard,NULL,NULL,NULL,NULL,WE8ISO8859P1,AL16UTF16,8,NULL,No,NULL,NULL,NULL,NULL,NULL,Provision a hosting platform or database,Service,Application,Development,NULL,Non-Critical,Maintain,Server,Consumer,SC Quality,Supply Chain,"NA, LATAM, ASPAC, EMEA",100-999,false,US Diabetes Care,false,false,true,false,false,false,Personal Data Type 1,NULL,false,false
RITM000012558629,SDDC database 1,Shared Services,J&J World Headquarters,NULL,NULL,NULL,No,NULL,1,NULL,No,NULL,NULL,Medium,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Provision a hosting platform or database,Service,Application,Production,Transformed,Non-Critical,Rising,Platform,Pharma,R&D Development Other,R&D Clinical Development Technologies,GLOBAL,1-99,false,Janssen R&D BE,false,false,false,false,false,false,NULL,NULL,false,false
RITM000012554845,SDDC database 1,NULL,NULL,"W130 JOHNSON & JOHNSON SERVICES,",Pharma,NA enterprise data center,NULL,0,NULL,SDDC factory migration,NULL,AKB – APPLICATION KNOWLEDGE BASE - PROD,Oracle 11g Enterprise Edition,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
RITM000013018659,SDDC database 1,Cardiovascular Specialty Solutions,Mentor International,MENTOR MEDICAL SYSTEMS B.V.,Medical devices,EMEA enterprise data center,No,0,1,New application,NULL,KIOWARE LITE - DEV,SQL 2012 Standard Edition,Small,0,NULL,Standard,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Provision a hosting platform or database,Service,Application,Development,NULL,Non-Critical,Maintain,Server,Medical Devices,SC General,Supply Chain,EMEA,1-99,false,Mentor International,false,false,false,false,false,false,NULL,NULL,false,false
RITM000013135524,SDDC database 1,Global Technology Services,J&J World Headquarters,"W130 JOHNSON & JOHNSON SERVICES,",GTS,NA enterprise data center,No,0,2,SDDC factory migration,Yes,CISCO PROCESS ORCHESTRATOR 3.0 – NA QA,SQL 2012 Standard Edition,Small,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Provision a hosting platform or database,Service,Application,QA,NULL,Vital,NULL,Platform,Corporate,GTS,None Assigned,GLOBAL,1-99,false,JJ World Headqtrs US,false,false,false,false,false,false,NULL,NULL,false,false
RITM000013479795,SDDC database 1,Global Technology Services,Janssen Belgium,JANSSEN PHARMACEUTICA NV,Supply chain (including HCS),EMEA enterprise data center,No,0,1,SDDC Factory Migration,Yes,PRISYM MEDICA CSL QA,SQL 2008 Standard Edition,Small,0,NULL,Standard,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Provision a hosting platform or database,Service,Application,QA,NULL,Non-Critical,NULL,Server,Medical Devices,SC Deliver,Supply Chain,EMEA,1-99,false,DePuy UK R&D/MFG - 01-JAN,false,false,false,false,false,false,NULL,NULL,false,false
RITM000013048707,SDDC database 1,Global Technology Services,J&J World Headquarters,"W130 JOHNSON & JOHNSON SERVICES,",GTS,NA enterprise data center,No,0,1,SDDC factory migration,Yes,TIDAL ENTERPRISE SCHEDULER - 6 NA QA,SQL 2012 Standard Edition,Small,0,NULL,Standard,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Provision a hosting platform or database,Service,Application,QA,NULL,Non-Critical,Core Rising,Server,Corporate,GTS,None Assigned,"ASPAC, NA, LATAM","75,000+",false,JJ World Headqtrs US,false,false,true,false,false,false,NULL,NULL,false,false
RITM000013058527,SDDC database 1,Global Technology Services,J&J Medical Singapore,JOHNSON & JOHNSON PTE. LTD.,GTS,ASPAC enterprise data center,No,0,1,SDDC factory migration,Yes,WEBMETHODS ASPAC SHARED BPMS3 DEV PLATFORM,Oracle 12c Enterprise Edition,Medium,0,NULL,Standard,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Provision a hosting platform or database,Service,Application,Development,NULL,Non-Critical,Maintain,Platform,Corporate,GTS,None Assigned,ASPAC,100-999,false,JJ World Headqtrs US,false,false,false,false,false,false,NULL,NULL,false,false
RITM000012923305,SDDC database 1,Global Technology Services,Jan-Cil Australia,JANSSEN-CILAG PTY. LTD,Pharma,ASPAC enterprise data center,No,0,1,SDDC factory migration,Yes,JUICE-STG.JNJ.COM-DEV,SQL 2012 Standard Edition,Small,80,NULL,Standard,Small,Windows,1,SMALL SQL Server 2012 Standard Edition server is required.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Provision a hosting platform or database,Service,Application,Development,NULL,Non-Critical,Maintain,Server,Pharma,Comm ASPAC,Collaboration & Productivity,ASPAC,100-999,false,Jan-Cil Australia,false,false,false,false,false,false,NULL,NULL,false,false
RITM000013679189,SDDC database 1,Global Technology Services,J&J World Headquarters,"W130 JOHNSON & JOHNSON SERVICES, INC.",GTS,NA enterprise data center,No,0,1,SDDC Factory Migration,Yes,NA CITRIX XENAPP 6 PPR,SQL 2012 Standard Edition,Small,0,NULL,Standard,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"
Latin1_General_CI_AI",No,NULL,NULL,NULL,NULL,NULL,Provision a hosting platform or database,Service,Application,Staging,NULL,Vital,NULL,Platform,Corporate,GTS,None Assigned,NA,"10,000-24,999",false,JJ World Headqtrs US,false,false,false,false,false,false,NULL,NULL,false,false
RITM000014261208,SDDC database 1,Janssen,J&J HCS USA,JOHNSON & JOHNSON HEALTH CARE SYSTEMS INC.,Supply chain (including HCS),NA enterprise data center,No,4,1,Organic Growth,NULL,CCI CONTRACT OPTIMIZATION REVENUE EXCELLENCE - CORE  QUALITY,Oracle 12c Enterprise Edition,Small,1000,NULL,Standard,NULL,NULL,NULL,NULL,AL32UTF8,AL16UTF16,8,NULL,No,NULL,NULL,NULL,NULL,NULL,Provision a hosting platform or database,Service,Application,QA,Pending Install,Vital,NULL,Server,Pharma,JSC Deliver,Supply Chain,NA,100-999,false,J&J HCS USA,false,false,false,false,false,false,NULL,NULL,false,false
RITM000014056947,SDDC database 1,Global Technology Services,Janssen Belgium,JANSSEN PHARMACEUTICA NV,Pharma,EMEA enterprise data center,No,0,1,New Application,NULL,MORTIMER -QA,SQL 2012 Standard Edition,Small,0,NULL,Standard,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"
Latin1_General_CI_AS",No,NULL,NULL,NULL,NULL,NULL,Provision a hosting platform or database,Service,Application,QA,NULL,Non-Critical,NULL,Server,Pharma,R&D Development GCO,R&D Clinical Development Technologies,EMEA,1-99,false,Janssen R&D BE,false,false,false,false,false,false,NULL,NULL,false,false
RITM000013203367,SDDC database 1,Consumer Medical Devices,Vistakon Ireland Mfg,JOHNSON & JOHNSON VISION CARE,Medical devices,NA enterprise data center,No,4,1,New Application,NULL,VISION CARE LABWARE LIMS 7,Oracle 12c Enterprise Edition,Large,1000,NULL,Standard,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Provision a hosting platform or database,Service,Application,Production,NULL,Critical,NULL,Server,Consumer,SC Quality,Supply Chain,"EMEA, NA",100-999,false,Vistakon USA,false,false,false,false,false,false,NULL,NULL,false,false
RITM000013777893,SDDC database 1,Global Technology Services,Janssen Belgium,JANSSEN PHARMACEUTICA NV,Supply chain (including HCS),EMEA enterprise data center,No,0,1,SDDC Factory Migration,No,IVAT,SQL 2012 Standard Edition,Small,0,NULL,Standard,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,No,NULL,NULL,NULL,NULL,NULL,Provision a hosting platform or database,Service,Application,Production,NULL,Non-Critical,Maintain,Server,Pharma,JSC General,Supply Chain,EMEA,1-99,false,Janssen Belgium,false,false,false,false,false,false,NULL,NULL,false,false
RITM000014210914,SDDC database 1,Consumer,Manufacturing Helsingborg,MCNEIL AB,Consumer,EMEA enterprise data center,No,0,1,New Application,NULL,BIS-MCNEIL-R&D-HELSINGBORG-DEV,SQL 2014 Enterprise Edition,Small,0,NULL,Standard,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,No,This will be paired with the application server: ITSGBHHWSP00275         ,NULL,NULL,NULL,NULL,Provision a hosting platform or database,Service,Application,Development,NULL,Non-Critical,NULL,Server,Consumer,GPIQ-R&D,R&D,EMEA,1-99,false,Manufacturing Helsingborg,false,false,false,false,false,false,NULL,NULL,false,false
RITM000013157215,SDDC database 1,Global Technology Services,Janssen Belgium,JANSSEN PHARMACEUTICA NV,Supply chain (including HCS),EMEA enterprise data center,No,0,1,SDDC factory migration,No,FTT REPORTS - DEV,SQL 2012 Standard Edition,Small,0,"Non DBaaS
Collation: Latin1_General_CI_AS",Custom,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Provision a hosting platform or database,Service,Application,Development,NULL,Non-Critical,Maintain,Server,Consumer,SC Make,Supply Chain,EMEA,1-99,false,Lifescan Scotland,false,false,false,false,false,false,NULL,NULL,false,false
RITM000012726368,SDDC database 1,Shared Services,J&J World Headquarters,"W130 JOHNSON & JOHNSON SERVICES,",GTS,NA enterprise data center,No,0,1,SDDC factory migration,No,IDMS - USER APPLICATION,SQL 2008 Standard Edition,Small,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Provision a hosting platform or database,Service,Application,Production,NULL,Vital,Maintain,Server,Corporate,GTS,None Assigned,NA,"75,000+",false,JJ World Headqtrs US,false,false,false,false,false,false,Personal Data Type 1,NULL,false,false
RITM000013629417,SDDC database 1,Global Technology Services,J&J World Headquarters,"W130 JOHNSON & JOHNSON SERVICES, INC.",Supply chain (including HCS),NA enterprise data center,No,0,1,SDDC Factory Migration,Yes,AUTOMAGIC - DEV,SQL 2012 Standard Edition,Small,0,NULL,Standard,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,No,NULL,NULL,NULL,NULL,NULL,Provision a hosting platform or database,Service,Application,Development,NULL,Non-Critical,Maintain,Server,Pharma,JSC General,Supply Chain,NA,100-999,false,TIME,false,false,false,false,false,false,NULL,NULL,false,false
RITM000013187644,SDDC database 1,Global Technology Services,J&J Medical Japan,JOHNSON & JOHNSON K. K.,Medical devices,ASPAC enterprise data center,No,0,1,SDDC factory migration,Yes,MEDICAL JAPAN BI/DWH,SQL 2012 Enterprise Edition,Large,50,NULL,Standard,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Provision a hosting platform or database,Service,Application,Production,Transformed,Non-Critical,Maintain,Server,Medical Devices,ASPAC,D&A,ASPAC,"1,000-9,999",false,J&J Medical Japan,false,false,false,false,false,false,Personal Data Type 2,NULL,false,false
